"period","company_code","risk_type","risk_level","risk_reason"
"2026-06","920124.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920125.BJ","估值风险","高","估值较高且营收增长偏弱"
"2026-06","920125.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920126.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920128.BJ","估值风险","高","估值较高且营收增长偏弱"
"2026-06","920128.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920128.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920132.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920132.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920145.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920146.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920149.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920152.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920156.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920159.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920160.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920160.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920161.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920163.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920166.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920167.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920168.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920175.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920175.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920175.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920177.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920178.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920180.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920181.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920183.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920186.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920186.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920187.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920187.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920188.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920190.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920191.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920191.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920195.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920199.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920200.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920200.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920204.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920206.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920208.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920211.BJ","募资风险","高","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920212.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920218.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920220.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920220.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920221.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920223.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920225.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920227.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920230.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920230.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920239.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920242.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920242.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920245.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920247.BJ","估值风险","中","估值较高且营收增长偏弱"
"2026-06","920247.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920249.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920252.BJ","估值风险","高","估值较高且营收增长偏弱"
"2026-06","920252.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920261.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920261.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920262.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920263.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920263.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920267.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920274.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920275.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920284.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920300.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920304.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920351.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920351.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920357.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920368.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920370.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920371.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920374.BJ","估值风险","中","估值较高且营收增长偏弱"
"2026-06","920374.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920375.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920375.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920392.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920394.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920394.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920395.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920402.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920407.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920419.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920422.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920425.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920427.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920427.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920429.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920429.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920433.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920433.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920445.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920455.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920455.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920455.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920469.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920469.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920471.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920476.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920491.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920496.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920496.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920504.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920505.BJ","估值风险","高","估值较高且营收增长偏弱"
"2026-06","920508.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920508.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920510.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920519.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920527.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920547.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920553.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920571.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920575.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920575.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920576.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920579.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920579.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920580.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920593.BJ","估值风险","高","估值较高且营收增长偏弱"
"2026-06","920599.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920608.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920608.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920634.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920640.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920641.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920642.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920656.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920662.BJ","估值风险","高","估值较高且营收增长偏弱"
"2026-06","920665.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920670.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920679.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920679.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920679.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920690.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920694.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920703.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920717.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920718.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920719.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920725.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920729.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920735.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920748.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920765.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920765.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920781.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920786.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920792.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920799.BJ","估值风险","高","估值较高且营收增长偏弱"
"2026-06","920799.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920802.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920806.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920807.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920808.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920810.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920810.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920826.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920832.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920832.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920833.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920833.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920856.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920856.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920857.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920871.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920871.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920873.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920876.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920885.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920892.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920895.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920896.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920906.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920906.BJ","募资风险","中","募集资金使用进度偏低或募投项目发生延期变更"
"2026-06","920925.BJ","估值风险","高","估值较高且营收增长偏弱"
"2026-06","920926.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920931.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920931.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920942.BJ","低流动性风险","中","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920943.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920950.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920950.BJ","财务风险","中","盈利或经营现金流承压"
"2026-06","920957.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920957.BJ","估值风险","高","估值较高且营收增长偏弱"
"2026-06","920970.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920971.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920974.BJ","低流动性风险","高","换手率处于市场后四分位，交易活跃度偏低"
"2026-06","920992.BJ","财务风险","高","盈利或经营现金流承压"
"2026-06","920553.BJ","合规风险","中","存在自律监管措施事项，处置状态为整改中"
"2026-06","920020.BJ","合规风险","中","存在监管关注事项，处置状态为持续关注"
"2026-06","920245.BJ","合规风险","高","存在问询函事项，处置状态为已回复"
"2026-06","920108.BJ","合规风险","中","存在问询函事项，处置状态为已回复"
"2026-06","920009.BJ","合规风险","中","存在问询函事项，处置状态为已回复"
"2026-06","920519.BJ","合规风险","高","存在问询函事项，处置状态为整改中"
"2026-06","920370.BJ","合规风险","高","存在监管关注事项，处置状态为整改中"
"2026-06","920022.BJ","合规风险","高","存在问询函事项，处置状态为已回复"
"2026-06","920304.BJ","合规风险","中","存在监管关注事项，处置状态为已回复"
"2026-06","920807.BJ","合规风险","中","存在问询函事项，处置状态为已回复"
"2026-06","920799.BJ","合规风险","高","存在监管关注事项，处置状态为整改中"
"2026-06","920419.BJ","合规风险","高","存在纪律处分事项，处置状态为整改中"
"2026-06","920252.BJ","合规风险","高","存在监管关注事项，处置状态为整改中"
"2026-06","920374.BJ","合规风险","中","存在自律监管措施事项，处置状态为已回复"
"2026-06","920895.BJ","合规风险","高","存在监管关注事项，处置状态为已回复"
"2026-06","920145.BJ","合规风险","中","存在监管关注事项，处置状态为已回复"
"2026-06","920402.BJ","合规风险","高","存在自律监管措施事项，处置状态为已回复"
"2026-06","920974.BJ","合规风险","高","存在问询函事项，处置状态为整改中"
"2026-06","920640.BJ","合规风险","中","存在问询函事项，处置状态为持续关注"
